id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes
oth466_cf_fin,Cash From Financing Activities,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,39,75,1.1,[]
oth466_cf_fix_assets_sale_q,Sale of Fixed Assets,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.7151,43,83,1.1,[]
oth466_cf_forex_eff,Foreign Exchange Effects,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.8553,36,61,1.1,[]
oth466_cf_inc_tax_dfd,Deferred Income Taxes (Cash Flow),other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.6407,42,90,1.1,[]
oth466_cf_invest_purch,Increase In Investments,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.7938,25,33,1.1,[]
oth466_cf_invest_sold_q,Sale/Maturity of Investment,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.5842,9,13,1.1,[]
oth466_cf_lt_debt_issue,Long-Term Debt Issued,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.7587,34,64,1.1,[]
oth466_cf_lt_debt_rdct,Long-Term Debt - Reduction,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.8145,33,57,1.1,[]
oth466_cf_net_inc,Net Income From Cf Starting Line,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,60,247,1.1,[]
oth466_cf_net_inc_strt,Comp Inc - Beginning Net Income,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,26,47,1.1,[]
oth466_cf_oper_q,Net Cash Flow - Operating Activities,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.9079,69,291,1.1,[]
oth466_cf_other_use_invest,Other Uses - Investing,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.6874,34,63,1.1,[]
oth466_cf_stk_purch,Purchase Of Common And Preferred Stock,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.2902,7,11,1.1,[]
oth466_cf_stk_sale,Sale Of Common And Preferred Stock,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.3373,16,25,1.1,[]
oth466_cni_dfd_sb,Deferred Income,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.2884,21,25,1.1,[]
oth466_des_amt_of_tsy_stock,Amount Of Treasury Shares,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,0.477,16,24,1.1,[]
oth466_des_basic_avg_shs,Common Shares Used To Calculate Basic Eps,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,63,219,1.1,[]
oth466_des_com_shs_out_eps_basic_q,Common Shares Used to Calculate Earnings Per Share - Basic,other466,Aggregated Fundamental Data ,fundamental,Fundamental,fundamental-fundamental-data,Fundamental Data,ASI,1,MINVOL1M,MATRIX,1,53,201,1.1,[]
