id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
max_price_decrease_ratio,Proportion by which a stock's price can fall in a single trading day.,shortinterest5,Daily Price Limit Data,shortinterest,Short Interest,shortinterest-short-sale-models,Short Sale Models,IND,1,TOP500,MATRIX,1,1,232,482,1,[]
max_price_increase_ratio,Proportion by which a stock's price can rise in a single trading day.,shortinterest5,Daily Price Limit Data,shortinterest,Short Interest,shortinterest-short-sale-models,Short Sale Models,IND,1,TOP500,MATRIX,1,1,200,391,1,[]
price_limit_condition,Indicator showing whether a price limit is active for the security.,shortinterest5,Daily Price Limit Data,shortinterest,Short Interest,shortinterest-short-sale-models,Short Sale Models,IND,1,TOP500,MATRIX,1,1,188,329,1,[]
