Field,Description,Type,Coverage,Date Coverage,Alphas,__page
anl14_low_epsrep_fp2,The Lowest Estimation of Reported Earnings Per Share - upcoming 2 quarters,Matrix,1.5,50%,100%,5
anl14_low_epsrep_fp3,The lowest estimation of reported earnings per share - upcoming 3 quarters,Matrix,1.5,50%,100%,5
anl14_low_epsrep_fp4,The Lowest Estimation of Reported Earnings Per Share - upcoming 4 quarters,Matrix,1.5,50%,100%,5
anl14_low_epsrep_fp5,The Lowest Estimation of Reported Earnings Per Share - upcoming 5 quarters,Matrix,1.5,50%,100%,5
anl14_low_epsrep_fy1,The Lowest Estimation of Reported Earnings Per Share - upcoming year,Matrix,1.5,50%,100%,5
anl14_low_epsrep_fy2,The Lowest Estimation of Reported Earnings Per Share - upcoming 2 years,Matrix,1.5,50%,100%,5
anl14_low_epsrep_fy3,The lowest estimation of Reported Earnings Per Share - upcoming 3 years,Matrix,1.5,50%,100%,5
anl14_low_epsrep_fy4,The Lowest Estimation of Reported Earnings Per Share - upcoming 4 years,Matrix,1.5,50%,100%,5
anl14_low_epsrep_fy5,The Lowest Estimation of Reported Earnings Per Share - upcoming 5 years,Matrix,1.5,50%,100%,5
anl14_low_nav_fy1,The lowest estimation of net asset value - upcoming year,Matrix,1.5,50%,100%,5
anl14_low_nav_fy2,The lowest estimation of net asset value - upcoming 2 years,Matrix,1.5,50%,100%,5
anl14_low_nav_fy3,The Lowest Estimation of Net Asset Value - upcoming 3 years,Matrix,1.5,50%,100%,5
anl14_low_ndebt_fp1,The Lowest Estimation of Net Debt - upcoming quarter,Matrix,1.5,50%,100%,6
anl14_low_ndebt_fp2,The Lowest Estimation of Net Debt - Upcoming 2 Quarters,Matrix,1.5,50%,100%,6
anl14_low_ndebt_fp3,The Lowest Estimation of Net Debt - Upcoming 3 Quarters,Matrix,1.5,50%,100%,6
anl14_low_ndebt_fp4,The lowest estimation of net debt - upcoming 4 quarters,Matrix,1.5,50%,100%,6
anl14_low_ndebt_fy1,The lowest estimation of net debt - upcoming year,Matrix,1.5,50%,100%,6
anl14_low_ndebt_fy2,The Lowest Estimation of Net Debt - upcoming 2 years,Matrix,1.5,50%,100%,6
anl14_low_ndebt_fy3,The lowest estimation of net debt - upcoming 3 years,Matrix,1.5,50%,100%,6
anl14_low_ndebt_fy4,The Lowest Estimation of Net Debt - Upcoming 4 Years,Matrix,1.5,50%,100%,6
anl14_low_ndebt_fy5,The Lowest Estimation of Net Debt - Upcoming 5 Years,Matrix,1.5,50%,100%,6
anl14_low_ntp_fp1,The lowest estimation of net profit - upcoming quarter,Matrix,1.5,50%,100%,6
anl14_low_ntp_fp2,The lowest estimation of net profit - upcoming 2 quarters,Matrix,1.5,50%,100%,6
anl14_low_ntp_fp3,The lowest estimation of net profit - upcoming 3 quarters,Matrix,1.5,50%,100%,6
anl14_low_ntp_fp4,The lowest estimation of net profit - upcoming 4 quarters,Matrix,1.5,50%,100%,6
anl14_low_ntp_fp5,The lowest estimation of Net Profit - upcoming 5 quarters,Matrix,1.5,50%,100%,6
anl14_low_ntp_fy1,The Lowest estimation of Net Profit - upcoming year,Matrix,1.5,50%,100%,6
anl14_low_ntp_fy2,The Lowest Estimation of Net Profit - Upcoming 2 Years,Matrix,1.5,50%,100%,6
anl14_low_ntp_fy3,The Lowest Estimation of Net Profit - Upcoming 3 Years,Matrix,1.5,50%,100%,6
anl14_low_ntp_fy4,The lowest estimation of net profit - upcoming 4 years,Matrix,1.5,50%,100%,6
anl14_low_ntp_fy5,The Lowest Estimation of Net Profit - upcoming 5 years,Matrix,1.5,50%,100%,6
anl14_low_ntprep_fp1,The lowest estimation of reported net profit - upcoming quarter,Matrix,1.5,50%,100%,6
anl14_low_ntprep_fp2,The Lowest Estimation of Reported Net Profit - upcoming 2 quarters,Matrix,1.5,50%,100%,6
anl14_low_ntprep_fp3,The lowest estimation of reported net profit - upcoming 3 quarters,Matrix,1.5,50%,100%,6
anl14_low_ntprep_fp4,The lowest estimation of reported net profit - upcoming 4 quarters,Matrix,1.5,50%,100%,6
anl14_low_ntprep_fp5,The Lowest Estimation of Reported Net Profit - upcoming 5 quarters,Matrix,1.5,50%,100%,6
anl14_low_ntprep_fy1,The Lowest Estimation of Reported Net Profit - Upcoming Year,Matrix,1.5,50%,100%,6
anl14_low_ntprep_fy2,The lowest estimation of reported net profit - upcoming 2 years,Matrix,1.5,50%,100%,6
anl14_low_ntprep_fy3,The lowest estimation of reported net profit - upcoming 3 years,Matrix,1.5,50%,100%,6
anl14_low_ntprep_fy4,The lowest estimation of Reported Net Profit - upcoming 4 years,Matrix,1.5,50%,100%,6
anl14_low_ntprep_fy5,The lowest estimation of reported net profit - upcoming 5 years,Matrix,1.5,50%,100%,6
anl14_low_opp_fp1,The Lowest estimation of Operating Profit - upcoming quarter,Matrix,1.5,50%,100%,6
anl14_low_opp_fy1,The lowest estimation of operating profit - upcoming year,Matrix,1.5,50%,100%,6
anl14_low_opp_fy2,The Lowest Estimation of Operating Profit - upcoming 2 years,Matrix,1.5,50%,100%,6
anl14_low_opp_fy3,The Lowest Estimation of Operating Profit - Upcoming 3 Years,Matrix,1.5,50%,100%,6
anl14_low_ptp_fp1,The Lowest Estimation of Pretax Profit - upcoming quarter,Matrix,1.5,50%,100%,6
anl14_low_ptp_fp2,The lowest estimation of pretax profit - upcoming 2 quarters,Matrix,1.5,50%,100%,6
anl14_low_ptp_fp3,The lowest estimation of pretax profit - upcoming 3 quarters,Matrix,1.5,50%,100%,6
anl14_low_ptp_fy1,The lowest estimation of pretax profit - upcoming year,Matrix,1.5,50%,100%,6
anl14_low_ptp_fy2,The lowest estimation of Pretax Profit - upcoming 2 years,Matrix,1.5,50%,100%,6
anl14_low_ptp_fy3,The Lowest Estimation of Pretax Profit - Upcoming 3 Years,Matrix,1.5,50%,100%,6
anl14_low_ptp_fy4,The lowest estimation of Pretax Profit - upcoming 4 years,Matrix,1.5,50%,100%,6
anl14_low_ptp_fy5,The lowest estimation of Pretax Profit - upcoming 5 years,Matrix,1.5,50%,100%,6
anl14_low_ptprep_fy1,The lowest estimation of reported pretax profit - upcoming year,Matrix,1.5,50%,100%,6
anl14_low_ptprep_fy2,The lowest estimation of Reported Pretax Profit - upcoming 2 years,Matrix,1.5,50%,100%,6
anl14_low_ptprep_fy3,The lowest estimation of reported pretax profit - upcoming 3 years,Matrix,1.5,50%,100%,6
anl14_low_ptprep_fy4,The lowest estimation of reported pretax profit - upcoming 4 years,Matrix,1.5,50%,100%,6
anl14_low_ptprep_fy5,The lowest estimation of reported pretax profit - upcoming 5 years,Matrix,1.5,50%,100%,6
anl14_low_revenue_fp1,The lowest estimation of revenue - upcoming quarter,Matrix,1.5,50%,100%,6
anl14_low_revenue_fp2,The lowest estimation of Revenue - upcoming 2 quarters,Matrix,1.5,50%,100%,6
anl14_low_revenue_fp3,The lowest estimation of revenue - upcoming 3 quarters,Matrix,1.5,50%,100%,6
anl14_low_revenue_fp4,The Lowest Estimation of Revenue - upcoming 4 quarters,Matrix,1.5,50%,100%,6
anl14_low_revenue_fp5,The lowest estimation of revenue - upcoming 5 quarters,Matrix,1.5,50%,100%,7
anl14_low_revenue_fy1,The Lowest Estimation of Revenue - upcoming year,Matrix,1.5,50%,100%,7
anl14_low_revenue_fy2,The Lowest Estimation of Revenue - upcoming 2 years,Matrix,1.5,50%,100%,7
anl14_low_revenue_fy3,The Lowest Estimation of Revenue - upcoming 3 years,Matrix,1.5,50%,100%,7
anl14_low_revenue_fy4,The Lowest Estimation of Revenue - upcoming 4 years,Matrix,1.5,50%,100%,7
anl14_low_revenue_fy5,The Lowest Estimation of Revenue - upcoming 5 years,Matrix,1.5,50%,100%,7
anl14_low_roa_fy1,The Lowest estimation of Returns on Assets - upcoming year,Matrix,1.5,50%,100%,7
anl14_low_roa_fy2,The lowest estimation of Returns on Assets - upcoming 2 years,Matrix,1.5,50%,100%,7
anl14_low_roa_fy3,The lowest estimation of returns on assets - upcoming 3 years,Matrix,1.5,50%,100%,7
anl14_low_roa_fy4,The lowest estimation of Returns on Assets - upcoming 4 years,Matrix,1.5,50%,100%,7
anl14_low_roe_fp1,The Lowest Estimation of Returns on Equity - upcoming quarter,Matrix,1.5,50%,100%,7
anl14_low_roe_fp2,The lowest estimation of returns on equity - upcoming 2 quarters,Matrix,1.5,50%,100%,7
anl14_low_roe_fp3,The Lowest Estimation of Returns on Equity - Upcoming 3 Quarters,Matrix,1.5,50%,100%,7
anl14_low_roe_fp4,The lowest estimation of returns on equity - upcoming 4 quarters,Matrix,1.5,50%,100%,7
anl14_low_roe_fy1,The Lowest Estimation of Returns on Equity - Upcoming Year,Matrix,1.5,50%,100%,7
anl14_low_roe_fy2,The Lowest Estimation of Returns on Equity - Upcoming 2 Years,Matrix,1.5,50%,100%,7
anl14_low_roe_fy3,The Lowest Estimation of Returns on Equity - upcoming 3 years,Matrix,1.5,50%,100%,7
anl14_low_roe_fy4,The lowest estimation of Returns on Equity - upcoming 4 years,Matrix,1.5,50%,100%,7
anl14_low_roe_fy5,The lowest estimation of Returns on Equity - upcoming 5 years,Matrix,1.5,50%,100%,7
anl14_mean_bvps_fp1,Mean of estimations of book value per share - upcoming quarter,Matrix,1.5,50%,100%,7
anl14_mean_bvps_fp2,Mean of Estimations of Book Value Per Share - upcoming 2 quarters,Matrix,1.5,50%,100%,7
anl14_mean_bvps_fp3,Mean of estimations of book value per share - upcoming 3 quarters,Matrix,1.5,50%,100%,7
anl14_mean_bvps_fp4,Mean of estimations of book value per share - upcoming 4 quarters,Matrix,1.5,50%,100%,7
anl14_mean_bvps_fp5,Mean of estimations of book value per share - upcoming 5 quarters,Matrix,1.5,50%,100%,7
anl14_mean_bvps_fy1,Mean of Estimations of Book Value Per Share - upcoming year,Matrix,1.5,50%,100%,7
anl14_mean_bvps_fy2,Mean of Estimations of Book Value Per Share - upcoming 2 years,Matrix,1.5,50%,100%,7
anl14_mean_bvps_fy3,Mean of Estimations of Book Value Per Share - Upcoming 3 Years,Matrix,1.5,50%,100%,7
anl14_mean_bvps_fy4,Mean of Estimations of Book Value Per Share - upcoming 4 years,Matrix,1.5,50%,100%,7
anl14_mean_bvps_fy5,Mean of Estimations of Book Value Per Share - upcoming 5 years,Matrix,1.5,50%,100%,7
anl14_mean_capex_fp1,Mean of Estimations of Capital Expenditures - upcoming quarter,Matrix,1.5,50%,100%,7
anl14_mean_capex_fp2,Mean of Estimations of Capital Expenditures - Upcoming 2 Quarters,Matrix,1.5,50%,100%,7
anl14_mean_capex_fp3,Mean of estimations of capital expenditures - upcoming 3 quarters,Matrix,1.5,50%,100%,7
anl14_mean_capex_fp4,Mean of estimations of Capital Expenditures - upcoming 4 quarters,Matrix,1.5,50%,100%,7
anl14_mean_capex_fp5,Mean of estimations of capital expenditures - upcoming 5 quarters,Matrix,1.5,50%,100%,7
anl14_mean_capex_fy1,Mean of Estimations of Capital Expenditures - upcoming year,Matrix,1.5,50%,100%,7
anl14_mean_capex_fy2,Mean of Estimations of Capital Expenditures - upcoming 2 years,Matrix,1.5,50%,100%,7
anl14_mean_capex_fy3,Mean of Estimations of Capital Expenditures - upcoming 3 years,Matrix,1.5,50%,100%,7
anl14_mean_capex_fy4,Mean of Estimations of Capital Expenditures - Upcoming 4 Years,Matrix,1.5,50%,100%,7
anl14_mean_capex_fy5,Mean of Estimations of Capital Expenditures - upcoming 5 years,Matrix,1.5,50%,100%,7
anl14_mean_cfps_fp1,Mean of Estimations of Cash Flow Per Share - Upcoming Quarter,Matrix,1.5,50%,100%,7
anl14_mean_cfps_fp2,Mean of estimations of cash flow per share - upcoming 2 quarters,Matrix,1.5,50%,100%,7
anl14_mean_cfps_fp3,Mean of Estimations of Cash Flow Per Share - Upcoming 3 Quarters,Matrix,1.5,50%,100%,7
anl14_mean_cfps_fp4,Mean of Estimations of Cash Flow Per Share - upcoming 4 quarters,Matrix,1.5,50%,100%,7
anl14_mean_cfps_fy1,Mean of Estimations of Cash Flow Per Share - upcoming year,Matrix,1.5,50%,100%,7
anl14_mean_cfps_fy2,Mean of Estimations of Cash Flow Per Share - upcoming 2 years,Matrix,1.5,50%,100%,7
anl14_mean_cfps_fy3,Mean of estimations of cash flow per share - upcoming 3 years,Matrix,1.5,50%,100%,7
anl14_mean_cfps_fy4,Mean of Estimations of Cash Flow Per Share - upcoming 4 years,Matrix,1.5,50%,100%,7
anl14_mean_div_fp1,Mean of Estimations of Dividend - upcoming quarter,Matrix,1.5,50%,100%,7
anl14_mean_div_fp2,Mean of Estimations of Dividend - Upcoming 2 Quarters,Matrix,1.5,50%,100%,7
anl14_mean_div_fp3,Mean of Estimations of Dividend - upcoming 3 quarters,Matrix,1.5,50%,100%,7
anl14_mean_div_fp4,Mean of estimations of dividend - upcoming 4 quarters,Matrix,1.5,50%,100%,8
anl14_mean_div_fp5,Mean of Estimations of Dividend - upcoming 5 quarters,Matrix,1.5,50%,100%,8
anl14_mean_div_fy1,Mean of estimations of dividend - upcoming year,Matrix,1.5,50%,100%,8
anl14_mean_div_fy2,Mean of estimations of dividend - upcoming 2 years,Matrix,1.5,50%,100%,8
anl14_mean_div_fy3,Mean of Estimations of Dividend - Upcoming 3 Years,Matrix,1.5,50%,100%,8
anl14_mean_div_fy4,Mean of Estimations of Dividend - Upcoming 4 Years,Matrix,1.5,50%,100%,8
anl14_mean_div_fy5,Mean of estimations of dividend - upcoming 5 years,Matrix,1.5,50%,100%,8
anl14_mean_ebit_fp1,Mean of estimations of Earnings Before Interest & Taxes - upcoming quarter,Matrix,1.5,50%,100%,8
anl14_mean_ebit_fp2,Mean of estimations of earnings before interest & taxes - upcoming 2 quarters,Matrix,1.5,50%,100%,8
anl14_mean_ebit_fp3,Mean of Estimations of Earnings Before Interest & Taxes - Upcoming 3 Quarters,Matrix,1.5,50%,100%,8
anl14_mean_ebit_fp4,Mean of estimations of earnings before interest & taxes - upcoming 4 quarters,Matrix,1.5,50%,100%,8
anl14_mean_ebit_fp5,Mean of estimations of earnings before interest & taxes - upcoming 5 quarters,Matrix,1.5,50%,100%,8
anl14_mean_ebit_fy1,Mean of Estimations of Earnings Before Interest & Taxes - upcoming year,Matrix,1.5,50%,100%,8
anl14_mean_ebit_fy2,Mean of Estimations of Earnings Before Interest & Taxes - upcoming 2 years,Matrix,1.5,50%,100%,8
anl14_mean_ebit_fy3,Mean of Estimations of Earnings Before Interest & Taxes - Upcoming 3 Years,Matrix,1.5,50%,100%,8
anl14_mean_ebit_fy4,Mean of Estimations of Earnings Before Interest & Taxes - Upcoming 4 Years,Matrix,1.5,50%,100%,8
anl14_mean_ebit_fy5,Mean of Estimations of Earnings Before Interest & Taxes - upcoming 5 years,Matrix,1.5,50%,100%,8
anl14_mean_ebitda_fp1,"Mean of Estimations of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming quarter",Matrix,1.5,50%,100%,8
anl14_mean_ebitda_fp2,"Mean of estimations of earnings before interest, taxes, depreciation & amortization - upcoming 2 quarters",Matrix,1.5,50%,100%,8
anl14_mean_ebitda_fp3,"Mean of Estimations of Earnings Before Interest, Taxes, Depreciation & Amortization - Upcoming 3 Quarters",Matrix,1.5,50%,100%,8
anl14_mean_ebitda_fp4,"Mean of estimations of earnings before interest, taxes, depreciation & amortization - upcoming 4 quarters",Matrix,1.5,50%,100%,8
anl14_mean_ebitda_fp5,"Mean of Estimations of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 5 quarters",Matrix,1.5,50%,100%,8
anl14_mean_ebitda_fy1,"Mean of estimations of earnings before interest, taxes, depreciation & amortization - upcoming year",Matrix,1.5,50%,100%,8
anl14_mean_ebitda_fy2,"Mean of Estimations of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 2 years",Matrix,1.5,50%,100%,8
anl14_mean_ebitda_fy3,"Mean of Estimations of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 3 years",Matrix,1.5,50%,100%,8
anl14_mean_ebitda_fy4,"Mean of Estimations of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 4 years",Matrix,1.5,50%,100%,8
anl14_mean_ebitda_fy5,"Mean of Estimations of Earnings Before Interest, Taxes, Depreciation & Amortization - upcoming 5 years",Matrix,1.5,50%,100%,8
anl14_mean_eps_fp1,Mean of estimations of earnings per share - upcoming quarter,Matrix,1.5,50%,100%,8
anl14_mean_eps_fp2,Mean of Estimations of Earnings Per Share - upcoming 2 quarters,Matrix,1.5,50%,100%,8
anl14_mean_eps_fp3,Mean of estimations of Earnings Per Share - upcoming 3 quarters,Matrix,1.5,50%,100%,8
anl14_mean_eps_fp4,Mean of Estimations of Earnings Per Share - Upcoming 4 Quarters,Matrix,1.5,50%,100%,8
anl14_mean_eps_fp5,Mean of Estimations of Earnings Per Share - upcoming 5 quarters,Matrix,1.5,50%,100%,8
anl14_mean_eps_fy1,Mean of Estimations of Earnings Per Share - upcoming year,Matrix,1.5,50%,100%,8
anl14_mean_eps_fy2,Mean of Estimations of Earnings Per Share - upcoming 2 years,Matrix,1.5,50%,100%,8
anl14_mean_eps_fy3,Mean of Estimations of Earnings Per Share - Upcoming 3 Years,Matrix,1.5,50%,100%,8
anl14_mean_eps_fy4,Mean of Estimations of Earnings Per Share - Upcoming 4 Years,Matrix,1.5,50%,100%,8
anl14_mean_eps_fy5,Mean of Estimations of Earnings Per Share - upcoming 5 years,Matrix,1.5,50%,100%,8
anl14_mean_epsrep_fp1,Mean of Estimations of Reported Earnings Per Share - upcoming quarter,Matrix,1.5,50%,100%,8
anl14_mean_epsrep_fp2,Mean of estimations of reported earnings per share - upcoming 2 quarters,Matrix,1.5,50%,100%,8
anl14_mean_epsrep_fp3,Mean of Estimations of Reported Earnings Per Share - upcoming 3 quarters,Matrix,1.5,50%,100%,8
anl14_mean_epsrep_fp4,Mean of Estimations of Reported Earnings Per Share - Upcoming 4 Quarters,Matrix,1.5,50%,100%,8
anl14_mean_epsrep_fp5,Mean of estimations of Reported Earnings Per Share - upcoming 5 quarters,Matrix,1.5,50%,100%,8
anl14_mean_epsrep_fy1,Mean of Estimations of Reported Earnings Per Share - Upcoming Year,Matrix,1.5,50%,100%,8
anl14_mean_epsrep_fy2,Mean of Estimations of Reported Earnings Per Share - Upcoming 2 Years,Matrix,1.5,50%,100%,8
anl14_mean_epsrep_fy3,Mean of Estimations of Reported Earnings Per Share - upcoming 3 years,Matrix,1.5,50%,100%,8
anl14_mean_epsrep_fy4,Mean of Estimations of Reported Earnings Per Share - upcoming 4 years,Matrix,1.5,50%,100%,8
anl14_mean_epsrep_fy5,Mean of Estimations of Reported Earnings Per Share - upcoming 5 years,Matrix,1.5,50%,100%,8
anl14_mean_nav_fy1,Mean of estimations of net asset value - upcoming year,Matrix,1.5,50%,100%,8
anl14_mean_nav_fy2,Mean of Estimations of Net Asset Value - Upcoming 2 Years,Matrix,1.5,50%,100%,8
anl14_mean_nav_fy3,Mean of Estimations of Net Asset Value - upcoming 3 years,Matrix,1.5,50%,100%,8
anl14_mean_ndebt_fp1,Mean of Estimations of Net Debt - upcoming quarter,Matrix,1.5,50%,100%,9
anl14_mean_ndebt_fp2,Mean of estimations of net debt - upcoming 2 quarters,Matrix,1.5,50%,100%,9
anl14_mean_ndebt_fp3,Mean of Estimations of Net Debt - Upcoming 3 Quarters,Matrix,1.5,50%,100%,9
anl14_mean_ndebt_fp4,Mean of Estimations of Net Debt - Upcoming 4 Quarters,Matrix,1.5,50%,100%,9
anl14_mean_ndebt_fy1,Mean of estimations of Net Debt - upcoming year,Matrix,1.5,50%,100%,9
anl14_mean_ndebt_fy2,Mean of Estimations of Net Debt - upcoming 2 years,Matrix,1.5,50%,100%,9
anl14_mean_ndebt_fy3,Mean of Estimations of Net Debt - upcoming 3 years,Matrix,1.5,50%,100%,9
anl14_mean_ndebt_fy4,Mean of Estimations of Net Debt - Upcoming 4 Years,Matrix,1.5,50%,100%,9
anl14_mean_ndebt_fy5,Mean of Estimations of Net Debt - upcoming 5 years,Matrix,1.5,50%,100%,9
anl14_mean_ntp_fp1,Mean of Estimations of Net Profit - upcoming quarter,Matrix,1.5,50%,100%,9
anl14_mean_ntp_fp2,Mean of estimations of net profit - upcoming 2 quarters,Matrix,1.5,50%,100%,9
anl14_mean_ntp_fp3,Mean of Estimations of Net Profit - upcoming 3 quarters,Matrix,1.5,50%,100%,9
anl14_mean_ntp_fp4,Mean of estimations of net profit - upcoming 4 quarters,Matrix,1.5,50%,100%,9
anl14_mean_ntp_fp5,Mean of estimations of Net Profit - upcoming 5 quarters,Matrix,1.5,50%,100%,9
anl14_mean_ntp_fy1,Mean of Estimations of Net Profit - Upcoming Year,Matrix,1.5,50%,100%,9
anl14_mean_ntp_fy2,Mean of estimations of net profit - upcoming 2 years,Matrix,1.5,50%,100%,9
anl14_mean_ntp_fy3,Mean of estimations of net profit - upcoming 3 years,Matrix,1.5,50%,100%,9
anl14_mean_ntp_fy4,Mean of estimations of net profit - upcoming 4 years,Matrix,1.5,50%,100%,9
anl14_mean_ntp_fy5,Mean of estimations of net profit - upcoming 5 years,Matrix,1.5,50%,100%,9
anl14_mean_ntprep_fp1,Mean of estimations of reported net profit - upcoming quarter,Matrix,1.5,50%,100%,9
anl14_mean_ntprep_fp2,Mean of Estimations of Reported Net Profit - upcoming 2 quarters,Matrix,1.5,50%,100%,9
anl14_mean_ntprep_fp3,Mean of Estimations of Reported Net Profit - upcoming 3 quarters,Matrix,1.5,50%,100%,9
anl14_mean_ntprep_fp4,Mean of estimations of reported net profit - upcoming 4 quarters,Matrix,1.5,50%,100%,9
anl14_mean_ntprep_fp5,Mean of Estimations of Reported Net Profit - upcoming 5 quarters,Matrix,1.5,50%,100%,9
anl14_mean_ntprep_fy1,Mean of Estimations of Reported Net Profit - upcoming year,Matrix,1.5,50%,100%,9
anl14_mean_ntprep_fy2,Mean of Estimations of Reported Net Profit - upcoming 2 years,Matrix,1.5,50%,100%,9
anl14_mean_ntprep_fy3,Mean of Estimations of Reported Net Profit - upcoming 3 years,Matrix,1.5,50%,100%,9
anl14_mean_ntprep_fy4,Mean of Estimations of Reported Net Profit - upcoming 4 years,Matrix,1.5,50%,100%,9
anl14_mean_ntprep_fy5,Mean of Estimations of Reported Net Profit - upcoming 5 years,Matrix,1.5,50%,100%,9
anl14_mean_opp_fp1,Mean of Estimations of Operating Profit - upcoming quarter,Matrix,1.5,50%,100%,9
anl14_mean_opp_fy1,Mean of Estimations of Operating Profit - upcoming year,Matrix,1.5,50%,100%,9
anl14_mean_opp_fy2,Mean of Estimations of Operating Profit - upcoming 2 years,Matrix,1.5,50%,100%,9
anl14_mean_opp_fy3,Mean of Estimations of Operating Profit - upcoming 3 years,Matrix,1.5,50%,100%,9
anl14_mean_ptp_fp1,Mean of estimations of pretax profit - upcoming quarter,Matrix,1.5,50%,100%,9
anl14_mean_ptp_fp2,Mean of estimations of pretax profit - upcoming 2 quarters,Matrix,1.5,50%,100%,9
anl14_mean_ptp_fp3,Mean of Estimations of Pretax Profit - upcoming 3 quarters,Matrix,1.5,50%,100%,9
anl14_mean_ptp_fy1,Mean of Estimations of Pretax Profit - upcoming year,Matrix,1.5,50%,100%,9
anl14_mean_ptp_fy2,Mean of estimations of pretax profit - upcoming 2 years,Matrix,1.5,50%,100%,9
anl14_mean_ptp_fy3,Mean of Estimations of Pretax Profit - Upcoming 3 Years,Matrix,1.5,50%,100%,9
anl14_mean_ptp_fy4,Mean of Estimations of Pretax Profit - upcoming 4 years,Matrix,1.5,50%,100%,9
anl14_mean_ptp_fy5,Mean of estimations of pretax profit - upcoming 5 years,Matrix,1.5,50%,100%,9
anl14_mean_ptprep_fy1,Mean of Estimations of Reported Pretax Profit - upcoming year,Matrix,1.5,50%,100%,9
anl14_mean_ptprep_fy2,Mean of Estimations of Reported Pretax Profit - upcoming 2 years,Matrix,1.5,50%,100%,9
anl14_mean_ptprep_fy3,Mean of estimations of reported pretax profit - upcoming 3 years,Matrix,1.5,50%,100%,9
anl14_mean_ptprep_fy4,Mean of estimations of reported pretax profit - upcoming 4 years,Matrix,1.5,50%,100%,9
anl14_mean_ptprep_fy5,Mean of estimations of reported pretax profit - upcoming 5 years,Matrix,1.5,50%,100%,9
anl14_mean_revenue_fp1,Mean of Estimations of Revenue - Upcoming Quarter,Matrix,1.5,50%,100%,9
anl14_mean_revenue_fp2,Mean of Estimations of Revenue - upcoming 2 quarters,Matrix,1.5,50%,100%,9
anl14_mean_revenue_fp3,Mean of estimations of revenue - upcoming 3 quarters,Matrix,1.5,50%,100%,9
anl14_mean_revenue_fp4,Mean of Estimations of Revenue - upcoming 4 quarters,Matrix,1.5,50%,100%,9
anl14_mean_revenue_fp5,Mean of estimations of revenue - upcoming 5 quarters,Matrix,1.5,50%,100%,10
anl14_mean_revenue_fy1,Mean of Estimations of Revenue - upcoming year,Matrix,1.5,50%,100%,10
anl14_mean_revenue_fy2,Mean of estimations of revenue - upcoming 2 years,Matrix,1.5,50%,100%,10
anl14_mean_revenue_fy3,Mean of estimations of Revenue - upcoming 3 years,Matrix,1.5,50%,100%,10
anl14_mean_revenue_fy4,Mean of estimations of revenue - upcoming 4 years,Matrix,1.5,50%,100%,10
anl14_mean_revenue_fy5,Mean of Estimations of Revenue - Upcoming 5 Years,Matrix,1.5,50%,100%,10
anl14_mean_roa_fy1,Mean of estimations of returns on assets - upcoming year,Matrix,1.5,50%,100%,10
anl14_mean_roa_fy2,Mean of Estimations of Returns on Assets - upcoming 2 years,Matrix,1.5,50%,100%,10
anl14_mean_roa_fy3,Mean of estimations of returns on assets - upcoming 3 years,Matrix,1.5,50%,100%,10
anl14_mean_roa_fy4,Mean of Estimations of Returns on Assets - upcoming 4 years,Matrix,1.5,50%,100%,10
anl14_mean_roe_fp1,Mean of estimations of returns on equity - upcoming quarter,Matrix,1.5,50%,100%,10
anl14_mean_roe_fp2,Mean of Estimations of Returns on Equity - upcoming 2 quarters,Matrix,1.5,50%,100%,10
anl14_mean_roe_fp3,Mean of Estimations of Returns on Equity - upcoming 3 quarters,Matrix,1.5,50%,100%,10
anl14_mean_roe_fp4,Mean of estimations of returns on equity - upcoming 4 quarters,Matrix,1.5,50%,100%,10
anl14_mean_roe_fy1,Mean of Estimations of Returns on Equity - upcoming year,Matrix,1.5,50%,100%,10
anl14_mean_roe_fy2,Mean of Estimations of Returns on Equity - upcoming 2 years,Matrix,1.5,50%,100%,10
anl14_mean_roe_fy3,Mean of Estimations of Returns on Equity - upcoming 3 years,Matrix,1.5,50%,100%,10
anl14_mean_roe_fy4,Mean of Estimations of Returns on Equity - upcoming 4 years,Matrix,1.5,50%,100%,10
anl14_mean_roe_fy5,Mean of Estimations of Returns on Equity - upcoming 5 years,Matrix,1.5,50%,100%,10
anl14_median_bvps_fp1,Median of Estimations of Book Value Per Share - upcoming quarter,Matrix,1.5,50%,100%,10
anl14_median_bvps_fp2,Median of Estimations of Book Value Per Share - Upcoming 2 Quarters,Matrix,1.5,50%,100%,10
anl14_median_bvps_fp3,Median of Estimations of Book Value Per Share - Upcoming 3 Quarters,Matrix,1.5,50%,100%,10
anl14_median_bvps_fp4,Median of Estimations of Book Value Per Share - upcoming 4 quarters,Matrix,1.5,50%,100%,10
anl14_median_bvps_fp5,Median of Estimations of Book Value Per Share - upcoming 5 quarters,Matrix,1.5,50%,100%,10
anl14_median_bvps_fy1,Median of Estimations of Book Value Per Share - upcoming year,Matrix,1.5,50%,100%,10
anl14_median_bvps_fy2,Median of Estimations of Book Value Per Share - upcoming 2 years,Matrix,1.5,50%,100%,10
anl14_median_bvps_fy3,Median of Estimations of Book Value Per Share - Upcoming 3 Years,Matrix,1.5,50%,100%,10
anl14_median_bvps_fy4,Median of estimations of book value per share - upcoming 4 years,Matrix,1.5,50%,100%,10
