id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
entity_employee_count,The number of employees working for the entity.,socialmedia12,Sentiment Data for Equity,socialmedia,Social Media,socialmedia-social-media,Social Media,ASI,1,MINVOL1M,VECTOR,0.5728,0.2869,11,19,1.1,[]
entity_profile_summary,A brief description or summary of the entity’s profile.,socialmedia12,Sentiment Data for Equity,socialmedia,Social Media,socialmedia-social-media,Social Media,ASI,1,MINVOL1M,VECTOR,0.5728,0.2869,8,8,1.1,[]
entity_sector_name,The sector or industry classification of the entity.,socialmedia12,Sentiment Data for Equity,socialmedia,Social Media,socialmedia-social-media,Social Media,ASI,1,MINVOL1M,VECTOR,0.5728,0.2869,13,16,1.1,[]
entity_total_revenue,The total revenue generated by the entity.,socialmedia12,Sentiment Data for Equity,socialmedia,Social Media,socialmedia-social-media,Social Media,ASI,1,MINVOL1M,VECTOR,0.5728,0.2869,7,10,1.1,[]
scl12_buzz,relative sentiment volume,socialmedia12,Sentiment Data for Equity,socialmedia,Social Media,socialmedia-social-media,Social Media,ASI,1,MINVOL1M,MATRIX,1,0.2772,27,41,1.1,[]
scl12_sentiment,sentiment,socialmedia12,Sentiment Data for Equity,socialmedia,Social Media,socialmedia-social-media,Social Media,ASI,1,MINVOL1M,MATRIX,1,0.2772,17,26,1.1,[]
