id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
oth193_shield,The field gives the score which comes from the machine learning-based model. It indicates the outperformance or underperformance of a stock.,other193,Systematic Hedging for Investors to Evade Large Drawdowns,model,Model,model-mlai-models,ML/AI Models,EUR,1,TOP2500,VECTOR,1,0.8344,45,162,1.4,[]
oth193_shield2,The field gives the score which comes from a more advanced machine learning-based model. It indicates the outperformance or underperformance of a stock.,other193,Systematic Hedging for Investors to Evade Large Drawdowns,model,Model,model-mlai-models,ML/AI Models,EUR,1,TOP2500,VECTOR,1,0.8344,58,117,1.4,[]
oth193_wolfe_shield_global_mktcap,Market cap values in dollars,other193,Systematic Hedging for Investors to Evade Large Drawdowns,model,Model,model-mlai-models,ML/AI Models,EUR,1,TOP2500,VECTOR,1,0.8344,16,20,1.4,[]
