id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
five_day_sentiment_score_change,Change in normalized sentiment score over a five-day period.,london_sentiment,London Stock Sentiment Signals,model,Model,model-sentiment,Sentiment,EUR,1,TOP2500,VECTOR,0.8368,0.1634,0,0,1.4,[]
normalized_sentiment_volume_score,Z-score representing the normalized sentiment volume for a stock.,london_sentiment,London Stock Sentiment Signals,model,Model,model-sentiment,Sentiment,EUR,1,TOP2500,VECTOR,0.8368,0.1634,0,0,1.4,[]
one_day_sentiment_score_change,Change in normalized sentiment score over a one-day period.,london_sentiment,London Stock Sentiment Signals,model,Model,model-sentiment,Sentiment,EUR,1,TOP2500,VECTOR,0.8368,0.1634,0,0,1.4,[]
relative_tweet_volume_stddev,Mean standard deviation of indicative tweet volume for a stock.,london_sentiment,London Stock Sentiment Signals,model,Model,model-sentiment,Sentiment,EUR,1,TOP2500,VECTOR,0.8368,0.1634,0,0,1.4,[]
sentiment_volume_adjusted_score,Sentiment score adjusted by the volume of relevant tweets for a stock.,london_sentiment,London Stock Sentiment Signals,model,Model,model-sentiment,Sentiment,EUR,1,TOP2500,VECTOR,0.8368,0.1634,0,0,1.4,[]
sentiment_volume_score_stddev,Standard deviation of the sentiment volume score over a period.,london_sentiment,London Stock Sentiment Signals,model,Model,model-sentiment,Sentiment,EUR,1,TOP2500,VECTOR,0.8368,0.1634,0,0,1.4,[]
twenty_day_avg_sentiment_volume_score,Twenty-day average of the sentiment volume score for a stock.,london_sentiment,London Stock Sentiment Signals,model,Model,model-sentiment,Sentiment,EUR,1,TOP2500,VECTOR,0.8368,0.1634,0,0,1.4,[]
