id,description,dataset.id,dataset.name,category.id,category.name,subcategory.id,subcategory.name,region,delay,universe,type,dateCoverage,coverage,userCount,alphaCount,pyramidMultiplier,themes
event_secondary_topic_code,A code representing the secondary topic or subject area assigned to the event.,news29,Significant Developments Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7559,2,2,1.5,[]
event_tertiary_topic_code,A code representing the tertiary or additional topic classification for the event.,news29,Significant Developments Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7559,1,1,1.5,[]
nws29_full_frontpage,Indicates if a given news item is coming from a front page story or not,news29,Significant Developments Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7559,1,1,1.5,[]
nws29_full_significance,"Indicates the level of importance (1=High, 2=Medium, 3=Low) for the given development.",news29,Significant Developments Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7559,2,2,1.5,[]
nws29_full_topic1,The news topic code. A news item can have several topics.,news29,Significant Developments Data,news,News,news-news,News,EUR,1,TOP2500,VECTOR,1,0.7559,0,0,1.5,[]
